Constrant 1.0 Mu 1.0 sigma 1.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 18,73,2893.910704
iteration 19,73,269.4750771
iteration 20,75,27899.66564
iteration 21,73,746.1053294
iteration 22,174,1238.570478
iteration 23,122,527.1036657
iteration 24,90,11181.67412
iteration 25,113,627.2508053
iteration 26,86,15400.5848
iteration 27,83,956.254663
iteration 28,90,1381.745747
iteration 29,89,5530.000416
iteration 30,97,35409.93009
iteration 31,94,1715.452188
iteration 32,78,256.8573922
iteration 33,80,6285.057159
iteration 34,79,1299.203649
iteration 35,79,28934.61844
iteration 36,80,2868.954054
iteration 37,101,13572.38718
iteration 38,93,2706.38674
iteration 39,87,281463.6699
iteration 40,76,4074.008509
iteration 41,75,4166.647311
iteration 42,97,1351862.954
iteration 43,176,27514.01786
iteration 44,79,6913.34401
iteration 45,90,4691.101367
iteration 46,74,7317.307316
iteration 47,76,22510.84947
iteration 48,74,12363.94317
iteration 49,77,1419.700724
Constrant 1.0 Mu 5.0 sigma 4.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,74,15489.45651
iteration 1,75,35708.03633
iteration 2,71,147738.254
iteration 3,72,165610.0124
iteration 4,71,8745.439175
iteration 5,74,2567.079172
iteration 6,71,4705.527437
iteration 7,84,20216.77037
iteration 8,70,983534.3556
iteration 9,77,1130.119892
iteration 10,71,1643.584384
iteration 11,84,8749.055605
iteration 12,82,1.96E+07
iteration 13,76,470.4843545
iteration 14,80,4801.834144
iteration 15,82,537240.6528
iteration 16,71,2167.294159
iteration 17,81,418440.3773
iteration 18,81,998.0577447
iteration 19,74,668457.2957
iteration 20,72,10871.86981
iteration 21,74,32842.20033
iteration 22,75,957.5042737
iteration 23,74,33133.2627
iteration 24,72,5344.403126
iteration 25,133,7137.280221
iteration 26,92,2038.992927
iteration 27,104,1563.191206
iteration 28,109,1725.935985
iteration 29,88,11158.21006
iteration 30,91,632.6960301
iteration 31,114,1532.506843
iteration 32,78,505.6389076
iteration 33,91,818264.2417
iteration 34,81,43575.35761
iteration 35,82,2517549.865
iteration 36,74,7992.124597
iteration 37,78,803.9622651
iteration 38,75,2457.092939
iteration 39,70,7611.99453
iteration 40,88,338.6946482
iteration 41,83,622.4776962
iteration 42,87,710.8480655
iteration 43,76,2400.294163
iteration 44,76,6056.094215
iteration 45,85,60901.47524
iteration 46,75,1035.404338
iteration 47,95,370306.955
iteration 48,72,501.6720647
iteration 49,70,2387.139398
Constrant 1.0 Mu 5.0 sigma 5.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,94,33703.59683
iteration 1,90,56488.35687
iteration 2,76,28675.56514
iteration 3,82,1.94E+07
iteration 4,70,75674.24708
iteration 5,82,1.84E+07
iteration 6,83,10206.15239
iteration 7,97,7068.97571
iteration 8,92,142.9614193
